,$,private,public,id,float,integer,rpar,lpar,dot,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,colon,attribute,constructor,arrow,function,localvar,rsqbr,lsqbr,sr,not,floatlit,intlit,class,equal,or
START,START → REPTSTART0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,START → REPTSTART0,,,,,,,,START → REPTSTART0,,
APARAMS,,,,APARAMS → EXPR REPTAPARAMS1,,,APARAMS → &epsilon,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,APARAMSTAIL → comma EXPR,,,,,,,,,,,,,,,,,,,,,,,,,
ADDOP,,,,,,,,,,,,,,,,,,,,ADDOP → minus,ADDOP → plus,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDOP → or
ARITHEXPR,,,,ARITHEXPR → TERM RIGHTREPTARITHEXPR,,,,ARITHEXPR → TERM RIGHTREPTARITHEXPR,,,,,,,,,,,,ARITHEXPR → TERM RIGHTREPTARITHEXPR,ARITHEXPR → TERM RIGHTREPTARITHEXPR,,,,,,,,,,,,,,,,,,,,,,ARITHEXPR → TERM RIGHTREPTARITHEXPR,ARITHEXPR → TERM RIGHTREPTARITHEXPR,ARITHEXPR → TERM RIGHTREPTARITHEXPR,,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE → lsqbr ARRAYSIZE2,,,,,,,
ARRAYSIZE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE2 → rsqbr,,,,,ARRAYSIZE2 → intlit rsqbr,,,
ASSIGNOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNOP → equal,
CLASSDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECL → class id OPTCLASSDECL2 lcurbr REPTCLASSDECL4 rcurbr semi,,
CLASSDECL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECL2 → FUNCDEF,,,,,,,,CLASSDECL2 → CLASSDECL,,
EXPR,,,,EXPR → ARITHEXPR EXPR2,,,,EXPR → ARITHEXPR EXPR2,,,,,,,,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,,,,,,,,,,,,,,,,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,
EXPR2,,,,,,,EXPR2 → &epsilon,,,EXPR2 → &epsilon,,,,,,,,,,,,,EXPR2 → &epsilon,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,,,,,,,,,,,,,,,,,,,
FPARAMS,,,,FPARAMS → id colon TYPE REPTFPARAMS3 REPTFPARAMS4,,,FPARAMS → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL → comma id colon TYPE REPTFPARAMSTAIL4,,,,,,,,,,,,,,,,,,,,,,,,,
FACTOR,,,,FACTOR → FUNCTIONCALLORVARIABLE,,,,FACTOR → lpar ARITHEXPR rpar,,,,,,,,,,,,FACTOR → SIGN FACTOR,FACTOR → SIGN FACTOR,,,,,,,,,,,,,,,,,,,,,,FACTOR → not FACTOR,FACTOR → floatlit,FACTOR → intlit,,,
FUNCBODY,,,,,,,,,,,,,,,,,,,FUNCBODY → lcurbr REPTFUNCBODY1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF → FUNCHEAD FUNCBODY,,,,,,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → function id FUNCHEAD3,,,,,,,,,,
FUNCHEAD2,,,,FUNCHEAD2 → id lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD2 → constructor lpar FPARAMS rpar,,,,,,,,,,,,
FUNCHEAD3,,,,,,,,FUNCHEAD3 → lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD3 → sr FUNCHEAD2,,,,,,
ASSIGNSTAT,,,,ASSIGNSTAT → VARIABLE ASSIGNOP EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCTIONCALL,,,,FUNCTIONCALL → id FUNCALL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCALL3,,,,,,,,FUNCALL3 → lpar APARAMS rpar,FUNCALL3 → FUNCALL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCALL2,,,,,,,,,FUNCALL2 → dot id FUNCALL4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCALL4,,,,,,,,FUNCALL4 → lpar APARAMS rpar FUNCALL5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCALL4 → INDICE FUNCALL2,,,,,,,
FUNCALL5,,,,,,,,,FUNCALL5 → FUNCALL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,,,,VARIABLE → id VARIABLE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE3,,,,,,,VARIABLE3 → &epsilon,,VARIABLE3 → VARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE3 → INDICE,,,,,,VARIABLE3 → &epsilon,
VARIABLE2,,,,,,,,,VARIABLE2 → dot id VARIABLE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE4,,,,,,,,VARIABLE4 → lpar APARAMS rpar VARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE4 → INDICE VARIABLE5,,,,,,,
VARIABLE5,,,,,,,VARIABLE5 → &epsilon,,VARIABLE5 → VARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE5 → &epsilon,
FUNCTIONCALLORVARIABLE,,,,FUNCTIONCALLORVARIABLE → id FUNCTIONCALLORVARIABLE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCTIONCALLORVARIABLE1,,,,,,,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE1 → lpar APARAMS rpar FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,,,,,,,,,,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,,,,,,,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2,,,,,,,FUNCTIONCALLORVARIABLE1 → INDICELOOP FUNCTIONCALLORVARIABLE2
FUNCTIONCALLORVARIABLE2,,,,,,,FUNCTIONCALLORVARIABLE2 → &epsilon,,FUNCTIONCALLORVARIABLE2 → dot id FUNCTIONCALLORVARIABLE3,FUNCTIONCALLORVARIABLE2 → &epsilon,,,,,,,,,,FUNCTIONCALLORVARIABLE2 → &epsilon,FUNCTIONCALLORVARIABLE2 → &epsilon,,FUNCTIONCALLORVARIABLE2 → &epsilon,FUNCTIONCALLORVARIABLE2 → &epsilon,FUNCTIONCALLORVARIABLE2 → &epsilon,FUNCTIONCALLORVARIABLE2 → &epsilon,FUNCTIONCALLORVARIABLE2 → &epsilon,FUNCTIONCALLORVARIABLE2 → &epsilon,FUNCTIONCALLORVARIABLE2 → &epsilon,,FUNCTIONCALLORVARIABLE2 → &epsilon,FUNCTIONCALLORVARIABLE2 → &epsilon,FUNCTIONCALLORVARIABLE2 → &epsilon,,,,,,,FUNCTIONCALLORVARIABLE2 → &epsilon,,,,,,,,FUNCTIONCALLORVARIABLE2 → &epsilon
FUNCTIONCALLORVARIABLE3,,,,,,,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE3 → lpar APARAMS rpar FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,,,,,,,,,,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,,,,,,,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2,,,,,,,FUNCTIONCALLORVARIABLE3 → INDICELOOP FUNCTIONCALLORVARIABLE2
IDNEST1,,,,,,,,,IDNEST1 → dot id IDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDNEST2,,,,,,,,IDNEST2 → lpar APARAMS rpar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDNEST2 → lsqbr ARITHEXPR rsqbr IDNEST2,,,,,,,
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE → lsqbr ARITHEXPR rsqbr,,,,,,,
LOCALVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL → localvar id colon TYPE LOCALVARDECL2,,,,,,,,,
LOCALVARDECL2,,,,,,,,LOCALVARDECL2 → lpar APARAMS rpar semi,,LOCALVARDECL2 → REPTLOCALVARDECL4 semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL2 → REPTLOCALVARDECL4 semi,,,,,,,
LOCALVAR2,,,,LOCALVAR2 → STATEMENT,,,,,,,LOCALVAR2 → STATEMENT,LOCALVAR2 → STATEMENT,LOCALVAR2 → STATEMENT,LOCALVAR2 → STATEMENT,,,LOCALVAR2 → STATEMENT,,,,,,,,,,,,,,,,,,,,,,LOCALVAR2 → LOCALVARDECL,,,,,,,,,
MEMBERDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERDECL → MEMBERVARDECL,MEMBERDECL → MEMBERFUNCDECL,,MEMBERDECL → MEMBERFUNCDECL,,,,,,,,,,
MEMBERFUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCDECL → constructor colon lpar FPARAMS rpar semi,,MEMBERFUNCDECL → function id colon lpar FPARAMS rpar arrow RETURNTYPE semi,,,,,,,,,,
MEMBERVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERVARDECL → attribute id colon TYPE REPTMEMBERVARDECL4 semi,,,,,,,,,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP → and,MULTOP → div,MULTOP → mult,,,,,,,,,,,,,,,
OPTCLASSDECL2,,,,,,,,,,,,,,,,,,,OPTCLASSDECL2 → &epsilon,,,,,,,,,,,OPTCLASSDECL2 → isa id REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,,
RELEXPR,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,,,,,,,,,,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,
RELOP,,,,,,,,,,,,,,,,,,,,,,,,RELOP → geq,RELOP → leq,RELOP → gt,RELOP → lt,RELOP → neq,RELOP → eq,,,,,,,,,,,,,,,,,,,
REPTSTART0,REPTSTART0 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTSTART0 → CLASSDECL2 REPTSTART0,,,,,,,,REPTSTART0 → CLASSDECL2 REPTSTART0,,
REPTAPARAMS1,,,,,,,REPTAPARAMS1 → &epsilon,,,,,,,,,,,,,,,,REPTAPARAMS1 → APARAMSTAIL REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,,,,
REPTCLASSDECL4,,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,,,,,,,,,,,,,,,REPTCLASSDECL4 → &epsilon,,,,,,,,,,,,,,,,,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,,,,,,,,,,
REPTFPARAMS3,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → ARRAYSIZE REPTFPARAMS3,,,,,,,
REPTFPARAMS4,,,,,,,REPTFPARAMS4 → &epsilon,,,,,,,,,,,,,,,,REPTFPARAMS4 → FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,,,,,
REPTFPARAMSTAIL4,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → ARRAYSIZE REPTFPARAMSTAIL4,,,,,,,
REPTFUNCBODY1,,,,REPTFUNCBODY1 → LOCALVAR2 REPTFUNCBODY1,,,,,,,REPTFUNCBODY1 → LOCALVAR2 REPTFUNCBODY1,REPTFUNCBODY1 → LOCALVAR2 REPTFUNCBODY1,REPTFUNCBODY1 → LOCALVAR2 REPTFUNCBODY1,REPTFUNCBODY1 → LOCALVAR2 REPTFUNCBODY1,,,REPTFUNCBODY1 → LOCALVAR2 REPTFUNCBODY1,REPTFUNCBODY1 → &epsilon,,,,,,,,,,,,,,,,,,,,,REPTFUNCBODY1 → LOCALVAR2 REPTFUNCBODY1,,,,,,,,,
REPTLOCALVARDECL4,,,,,,,,,,REPTLOCALVARDECL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTLOCALVARDECL4 → ARRAYSIZE REPTLOCALVARDECL4,,,,,,,
REPTMEMBERVARDECL4,,,,,,,,,,REPTMEMBERVARDECL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTMEMBERVARDECL4 → ARRAYSIZE REPTMEMBERVARDECL4,,,,,,,
REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,,,REPTOPTCLASSDECL22 → &epsilon,,,,REPTOPTCLASSDECL22 → comma id REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,,,,,,,,,
REPTSTATBLOCK1,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETURNTYPE,,,,RETURNTYPE → TYPE,RETURNTYPE → TYPE,RETURNTYPE → TYPE,,,,,,,,,,,,,,,,RETURNTYPE → void,,,,,,,,,,,,,,,,,,,,,,,,,,
RIGHTREPTARITHEXPR,,,,,,,RIGHTREPTARITHEXPR → &epsilon,,,RIGHTREPTARITHEXPR → &epsilon,,,,,,,,,,RIGHTREPTARITHEXPR → ADDOP TERM RIGHTREPTARITHEXPR,RIGHTREPTARITHEXPR → ADDOP TERM RIGHTREPTARITHEXPR,,RIGHTREPTARITHEXPR → &epsilon,RIGHTREPTARITHEXPR → &epsilon,RIGHTREPTARITHEXPR → &epsilon,RIGHTREPTARITHEXPR → &epsilon,RIGHTREPTARITHEXPR → &epsilon,RIGHTREPTARITHEXPR → &epsilon,RIGHTREPTARITHEXPR → &epsilon,,,,,,,,,,,RIGHTREPTARITHEXPR → &epsilon,,,,,,,,RIGHTREPTARITHEXPR → ADDOP TERM RIGHTREPTARITHEXPR
RIGHTRECTERM,,,,,,,RIGHTRECTERM → &epsilon,,,RIGHTRECTERM → &epsilon,,,,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,,,,,,,RIGHTRECTERM → &epsilon,,,,,,,,RIGHTRECTERM → &epsilon
SIGN,,,,,,,,,,,,,,,,,,,,SIGN → minus,SIGN → plus,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATBLOCK,,,,STATBLOCK → STATEMENT,,,,,,STATBLOCK → &epsilon,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → &epsilon,,STATBLOCK → STATEMENT,,STATBLOCK → lcurbr REPTSTATBLOCK1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,STATEMENT → STATEMENT2 semi,,,,,,,STATEMENT → return lpar EXPR rpar semi,STATEMENT → write lpar EXPR rpar semi,STATEMENT → read lpar VARIABLE rpar semi,STATEMENT → while lpar RELEXPR rpar STATBLOCK semi,,,STATEMENT → if lpar RELEXPR rpar then STATBLOCK else STATBLOCK semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT2,,,,STATEMENT2 → id STATEMENT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT3,,,,,,,,STATEMENT3 → lpar APARAMS rpar AFTERFUNCTIONCALL,STATEMENT3 → INDICELOOP AFTERVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENT3 → INDICELOOP AFTERVARIABLE,,,,,,STATEMENT3 → INDICELOOP AFTERVARIABLE,
AFTERFUNCTIONCALL,,,,,,,,,AFTERFUNCTIONCALL → dot id MIDDLESTATE,AFTERFUNCTIONCALL → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFTERVARIABLE,,,,,,,,,AFTERVARIABLE → dot id MIDDLESTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFTERVARIABLE → ENDASSIGN,
MIDDLESTATE,,,,,,,,MIDDLESTATE → lpar APARAMS rpar AFTERFUNCTIONCALL,MIDDLESTATE → INDICELOOP AFTERVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLESTATE → INDICELOOP AFTERVARIABLE,,,,,,MIDDLESTATE → INDICELOOP AFTERVARIABLE,
INDICELOOP,,,,,,,INDICELOOP → &epsilon,,INDICELOOP → &epsilon,INDICELOOP → &epsilon,,,,,,,,,,INDICELOOP → &epsilon,INDICELOOP → &epsilon,,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,,,,,,,INDICELOOP → &epsilon,INDICELOOP → INDICE INDICELOOP,,,,,,INDICELOOP → &epsilon,INDICELOOP → &epsilon
ENDASSIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENDASSIGN → ASSIGNOP EXPR,
TERM,,,,TERM → FACTOR RIGHTRECTERM,,,,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,
TYPE,,,,TYPE → id,TYPE → float,TYPE → integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISIBILITY,,VISIBILITY → private,VISIBILITY → public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VISIBILITY → &epsilon,VISIBILITY → &epsilon,,VISIBILITY → &epsilon,,,,,,,,,,