,$,private,public,rpar,lpar,id,dot,float,integer,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,iSA,and,div,mult,colon,attribute,constructorkeyword,arrow,function,localvar,rsqbr,lsqbr,sr,not,floatlit,intlit,class,equal,or
START,START → REPTPROG0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,START → REPTPROG0,,,,,,,,START → REPTPROG0,,
ADDOP,,,,,,,,,,,,,,,,,,,,ADDOP → minus SA1,ADDOP → plus SA1,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDOP → or SA1
APARAMS,,,,APARAMS → &epsilon,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,APARAMSTAIL → comma EXPR,,,,,,,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,,,,,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,
ARRAYOROBJECT,,,,,ARRAYOROBJECT → lpar SA2 APARAMS SA5 rpar,,,,,ARRAYOROBJECT → REPTARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYOROBJECT → REPTARRAYSIZE,,,,,,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE → lsqbr ARRAYSIZE2,,,,,,,
ARRAYSIZE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE2 → SA36 rsqbr,,,,,ARRAYSIZE2 → intlit SA1 rsqbr,,,
ASSIGNOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNOP → equal,
CLASSDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECL → class id SA1 OPTINHERITS SA25 lcurbr SA2 REPTMEMBERDECL SA32 rcurbr SA33 semi,,
CLASSDECLORFUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECLORFUNCDEF → FUNCDEF,,,,,,,,CLASSDECLORFUNCDEF → CLASSDECL,,
EXPR,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,,,,,,,,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,,,,,,,,,,,,,,,,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,
EXPR2,,,,EXPR2 → SA6,,,,,,EXPR2 → SA6,,,,,,,,,,,,,EXPR2 → SA6,EXPR2 → RELOP ARITHEXPR SA7,EXPR2 → RELOP ARITHEXPR SA7,EXPR2 → RELOP ARITHEXPR SA7,EXPR2 → RELOP ARITHEXPR SA7,EXPR2 → RELOP ARITHEXPR SA7,EXPR2 → RELOP ARITHEXPR SA7,,,,,,,,,,,,,,,,,,,
FACTOR,,,,,FACTOR → lpar ARITHEXPR SA14 rpar,FACTOR → id SA1 FACTOR2 REPTVARIABLEORFUNCTIONCALL SA14,,,,,,,,,,,,,,FACTOR → SIGN FACTOR SA38,FACTOR → SIGN FACTOR SA38,,,,,,,,,,,,,,,,,,,,,,FACTOR → not SA1 FACTOR SA37,FACTOR → floatlit SA1,FACTOR → intlit SA1,,,
FACTOR2,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → lpar SA2 APARAMS SA5 rpar,,FACTOR2 → REPTIDNEST1,,,FACTOR2 → REPTIDNEST1,,,,,,,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,,,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,,,,,,FACTOR2 → REPTIDNEST1
FPARAMS,,,,FPARAMS → SA2 FPARAMS1,,FPARAMS → SA2 FPARAMS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMS1,,,,FPARAMS1 → SA28,,FPARAMS1 → id SA1 colon TYPE SA2 REPTFPARAMS3 SA3 SA27 REPTFPARAMS4 SA28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL → comma id SA1 colon TYPE SA2 REPTFPARAMSTAIL4 SA3 SA27,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCBODY,,,,,,,,,,,,,,,,,,,FUNCBODY → lcurbr SA2 REPTLOCALVARORSTAT SA30 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF → FUNCHEAD FUNCBODY SA31,,,,,,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → function id SA1 FUNCHEADTAIL,,,,,,,,,,
FUNCHEADMEMBERTAIL,,,,,,FUNCHEADMEMBERTAIL → id SA1 lpar FPARAMS rpar arrow RETURNTYPE SA29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEADMEMBERTAIL → constructorkeyword lpar FPARAMS rpar,,,,,,,,,,,,
FUNCHEADTAIL,,,,,FUNCHEADTAIL → lpar FPARAMS rpar arrow RETURNTYPE SA29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEADTAIL → sr FUNCHEADMEMBERTAIL,,,,,,
IDNEST,,,,,,,IDNEST → dot id SA1 IDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDNEST2,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → lpar SA2 APARAMS SA5 rpar,,IDNEST2 → REPTIDNEST1,,,IDNEST2 → REPTIDNEST1,,,,,,,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,,,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,,,,,,IDNEST2 → REPTIDNEST1
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE → lsqbr ARITHEXPR rsqbr,,,,,,,
LOCALVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL → localvar id SA1 colon TYPE SA2 ARRAYOROBJECT SA3 SA26 semi,,,,,,,,,
LOCALVARORSTAT,,,,,,LOCALVARORSTAT → STATEMENT,,,,,LOCALVARORSTAT → STATEMENT,LOCALVARORSTAT → STATEMENT,LOCALVARORSTAT → STATEMENT,LOCALVARORSTAT → STATEMENT,,,LOCALVARORSTAT → STATEMENT,,,,,,,,,,,,,,,,,,,,,,LOCALVARORSTAT → LOCALVARDECL,,,,,,,,,
MEMBERDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERDECL → MEMBERVARDECL,MEMBERDECL → MEMBERFUNCDECL,,MEMBERDECL → MEMBERFUNCDECL,,,,,,,,,,
MEMBERFUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCDECL → MEMBERFUNCHEAD semi,,MEMBERFUNCDECL → MEMBERFUNCHEAD semi,,,,,,,,,,
MEMBERFUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCHEAD → constructorkeyword colon lpar FPARAMS rpar,,MEMBERFUNCHEAD → function id SA1 colon lpar FPARAMS rpar arrow RETURNTYPE SA29,,,,,,,,,,
MEMBERVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERVARDECL → attribute id SA1 colon TYPE SA2 REPTARRAYSIZE SA3 SA26 semi,,,,,,,,,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP → and SA1,MULTOP → div SA1,MULTOP → mult SA1,,,,,,,,,,,,,,,
OPTINHERITS,,,,,,,,,,,,,,,,,,,OPTINHERITS → &epsilon,,,,,,,,,,,OPTINHERITS → iSA id SA1 REPTINHERITSLIST,,,,,,,,,,,,,,,,,,
RELEXPR,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR SA9,RELEXPR → ARITHEXPR RELOP ARITHEXPR SA9,,,,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR SA9,RELEXPR → ARITHEXPR RELOP ARITHEXPR SA9,,,,,,,,,,,,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR SA9,RELEXPR → ARITHEXPR RELOP ARITHEXPR SA9,RELEXPR → ARITHEXPR RELOP ARITHEXPR SA9,,,
RELOP,,,,,,,,,,,,,,,,,,,,,,,,RELOP → geq SA1,RELOP → leq SA1,RELOP → gt SA1,RELOP → lt SA1,RELOP → neq SA1,RELOP → eq SA1,,,,,,,,,,,,,,,,,,,
REPTAPARAMS1,,,,REPTAPARAMS1 → &epsilon,,,,,,,,,,,,,,,,,,,REPTAPARAMS1 → APARAMSTAIL REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,,,,
REPTARRAYSIZE,,,,,,,,,,REPTARRAYSIZE → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTARRAYSIZE → ARRAYSIZE REPTARRAYSIZE,,,,,,,
REPTFPARAMS3,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → ARRAYSIZE REPTFPARAMS3,,,,,,,
REPTFPARAMS4,,,,REPTFPARAMS4 → &epsilon,,,,,,,,,,,,,,,,,,,REPTFPARAMS4 → FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,,,,,
REPTFPARAMSTAIL4,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → ARRAYSIZE REPTFPARAMSTAIL4,,,,,,,
REPTIDNEST1,,,,REPTIDNEST1 → &epsilon,,,REPTIDNEST1 → &epsilon,,,REPTIDNEST1 → &epsilon,,,,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → INDICE REPTIDNEST1,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon
REPTINHERITSLIST,,,,,,,,,,,,,,,,,,,REPTINHERITSLIST → &epsilon,,,,REPTINHERITSLIST → comma id SA1 REPTINHERITSLIST,,,,,,,,,,,,,,,,,,,,,,,,,
REPTLOCALVARORSTAT,,,,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,,,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,,,,,,,,,
REPTMEMBERDECL,,REPTMEMBERDECL → VISIBILITY MEMBERDECL REPTMEMBERDECL,REPTMEMBERDECL → VISIBILITY MEMBERDECL REPTMEMBERDECL,,,,,,,,,,,,,,,REPTMEMBERDECL → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTPROG0,REPTPROG0 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTPROG0 → CLASSDECLORFUNCDEF REPTPROG0,,,,,,,,REPTPROG0 → CLASSDECLORFUNCDEF REPTPROG0,,
REPTSTATBLOCK1,,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLE,,,,REPTVARIABLE → &epsilon,,,REPTVARIABLE → SA2 VARIDNEST SA4 SA11 REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLEORFUNCTIONCALL,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,REPTVARIABLEORFUNCTIONCALL → IDNEST REPTVARIABLEORFUNCTIONCALL,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,,,,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon
RETURNTYPE,,,,,,RETURNTYPE → TYPE,,RETURNTYPE → TYPE,RETURNTYPE → TYPE,,,,,,,,,,,,,RETURNTYPE → void SA1,,,,,,,,,,,,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR SA8,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR SA8,,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR SA8
RIGHTRECTERM,,,,RIGHTRECTERM → &epsilon,,,,,,RIGHTRECTERM → &epsilon,,,,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM SA10,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM SA10,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM SA10,,,,,,,RIGHTRECTERM → &epsilon,,,,,,,,RIGHTRECTERM → &epsilon
SIGN,,,,,,,,,,,,,,,,,,,,SIGN → minus SA1,SIGN → plus SA1,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATBLOCK,,,,,,STATBLOCK → SA2 STATBLOCK1,,,,STATBLOCK → SA2 STATBLOCK1,STATBLOCK → SA2 STATBLOCK1,STATBLOCK → SA2 STATBLOCK1,STATBLOCK → SA2 STATBLOCK1,STATBLOCK → SA2 STATBLOCK1,STATBLOCK → SA2 STATBLOCK1,,STATBLOCK → SA2 STATBLOCK1,,STATBLOCK → lcurbr SA2 REPTSTATBLOCK1 SA23 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATBLOCK1,,,,,,STATBLOCK1 → STATEMENT SA23,,,,STATBLOCK1 → SA23,STATBLOCK1 → STATEMENT SA23,STATBLOCK1 → STATEMENT SA23,STATBLOCK1 → STATEMENT SA23,STATBLOCK1 → STATEMENT SA23,STATBLOCK1 → SA23,,STATBLOCK1 → STATEMENT SA23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,,,STATEMENT → id SA1 STATEMENTIDNEST SA17 semi,,,,,STATEMENT → return lpar EXPR SA19 SA17 rpar semi,STATEMENT → write lpar EXPR SA18 SA17 rpar semi,STATEMENT → read lpar VARIABLE SA16 SA17 rpar semi,STATEMENT → while lpar RELEXPR rpar STATBLOCK SA20 SA17 semi,,,STATEMENT → if lpar RELEXPR rpar then STATBLOCK else STATBLOCK SA21 SA17 semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST,,,,,STATEMENTIDNEST → lpar SA2 APARAMS SA5 rpar SA13 STATEMENTIDNEST2,,STATEMENTIDNEST → dot id SA1 STATEMENTIDNEST SA12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST → SA2 INDICE REPTIDNEST1 SA4 SA11 STATEMENTIDNEST3,,,,,,STATEMENTIDNEST → ASSIGNOP EXPR SA22 SA17,
STATEMENTIDNEST2,,,,,,,STATEMENTIDNEST2 → dot id SA1 STATEMENTIDNEST SA12,,,STATEMENTIDNEST2 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST3,,,,,,,STATEMENTIDNEST3 → dot id SA1 STATEMENTIDNEST SA12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST3 → ASSIGNOP EXPR SA22 SA17,
TERM,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,
TYPE,,,,,,TYPE → id SA1,,TYPE → float SA1,TYPE → integer SA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,,,,,,VARIABLE → id SA1 VARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE2,,,,VARIABLE2 → SA2 REPTIDNEST1 SA4 SA11 REPTVARIABLE,VARIABLE2 → lpar SA2 APARAMS SA5 rpar SA13 VARIDNEST,,VARIABLE2 → SA2 REPTIDNEST1 SA4 SA11 REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE2 → SA2 REPTIDNEST1 SA4 SA11 REPTVARIABLE,,,,,,,
VARIDNEST,,,,,,,VARIDNEST → dot id SA1 VARIDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIDNEST2,,,,VARIDNEST2 → REPTIDNEST1,VARIDNEST2 → lpar SA2 APARAMS SA5 rpar SA13 VARIDNEST,,VARIDNEST2 → REPTIDNEST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIDNEST2 → REPTIDNEST1,,,,,,,
VISIBILITY,,VISIBILITY → private SA1,VISIBILITY → public SA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA1,,,,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,,,SA1 → &epsilon,,,,,,,,,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,,SA1 → &epsilon,,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,,SA1 → &epsilon,SA1 → &epsilon
SA2,,SA2 → &epsilon,SA2 → &epsilon,SA2 → &epsilon,SA2 → &epsilon,SA2 → &epsilon,SA2 → &epsilon,,,SA2 → &epsilon,SA2 → &epsilon,SA2 → &epsilon,SA2 → &epsilon,SA2 → &epsilon,SA2 → &epsilon,,SA2 → &epsilon,SA2 → &epsilon,,SA2 → &epsilon,SA2 → &epsilon,,SA2 → &epsilon,,,,,,,,,,,,,,,,SA2 → &epsilon,,SA2 → &epsilon,,SA2 → &epsilon,SA2 → &epsilon,SA2 → &epsilon,,,
SA3,,,,SA3 → &epsilon,,,,,,SA3 → &epsilon,,,,,,,,,,,,,SA3 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,
SA4,,,,SA4 → &epsilon,,,SA4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA4 → &epsilon,
SA5,,,,SA5 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6,,,,SA6 → &epsilon,,,,,,SA6 → &epsilon,,,,,,,,,,,,,SA6 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,
SA7,,,,SA7 → &epsilon,,,,,,SA7 → &epsilon,,,,,,,,,,,,,SA7 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,
SA8,,,,SA8 → &epsilon,,,,,,SA8 → &epsilon,,,,,,,,,,,,,SA8 → &epsilon,SA8 → &epsilon,SA8 → &epsilon,SA8 → &epsilon,SA8 → &epsilon,SA8 → &epsilon,SA8 → &epsilon,,,,,,,,,,,SA8 → &epsilon,,,,,,,,
SA9,,,,SA9 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA10,,,,SA10 → &epsilon,,,,,,SA10 → &epsilon,,,,,,,,,,SA10 → &epsilon,SA10 → &epsilon,,SA10 → &epsilon,SA10 → &epsilon,SA10 → &epsilon,SA10 → &epsilon,SA10 → &epsilon,SA10 → &epsilon,SA10 → &epsilon,,,,,,,,,,,SA10 → &epsilon,,,,,,,,SA10 → &epsilon
SA11,,,,SA11 → &epsilon,,,SA11 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA11 → &epsilon,
SA12,,,,,,,,,,SA12 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA13,,,,,,,SA13 → &epsilon,,,SA13 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA14,,,,SA14 → &epsilon,,,,,,SA14 → &epsilon,,,,,,,,,,SA14 → &epsilon,SA14 → &epsilon,,SA14 → &epsilon,SA14 → &epsilon,SA14 → &epsilon,SA14 → &epsilon,SA14 → &epsilon,SA14 → &epsilon,SA14 → &epsilon,,SA14 → &epsilon,SA14 → &epsilon,SA14 → &epsilon,,,,,,,SA14 → &epsilon,,,,,,,,SA14 → &epsilon
SA15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA16,,,,SA16 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA17,,,,SA17 → &epsilon,,,,,,SA17 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA18,,,,SA18 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA19,,,,SA19 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA20,,,,,,,,,,SA20 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA21,,,,,,,,,,SA21 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA22,,,,,,,,,,SA22 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA23,,,,,,,,,,SA23 → &epsilon,,,,,SA23 → &epsilon,,,SA23 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA25,,,,,,,,,,,,,,,,,,,SA25 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA26,,,,,,,,,,SA26 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA27,,,,SA27 → &epsilon,,,,,,,,,,,,,,,,,,,SA27 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,
SA28,,,,SA28 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA29,,,,,,,,,,SA29 → &epsilon,,,,,,,,,SA29 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA30,,,,,,,,,,,,,,,,,,SA30 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA31,SA31 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA31 → &epsilon,,,,,,,,SA31 → &epsilon,,
SA32,,,,,,,,,,,,,,,,,,SA32 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA33,,,,,,,,,,SA33 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,